carrera	semestre	codigo	nombre	creditos	requisitos	correquisitos	grupo	dia	inicio	fin
Electronica	1	MA0101	matemática general	2	-	-	20	MAR	17:00	19:50
Electronica	1	MA0101	matemática general	2	-	-	20	JUE	17:00	18:50
Electronica	1	MA0101	matemática general	2	-	-	32	MIE	17:00	19:50
Electronica	1	MA0101	matemática general	2	-	-	32	VIE	17:00	18:50
Electronica	1	MA0101	matemática general	2	-	-	10	MAR	13:00	14:50
Electronica	1	MA0101	matemática general	2	-	-	10	JUE	13:00	15:50
Electronica	1	MA0101	matemática general	2	-	-	8	MAR	09:30	12:20
Electronica	1	MA0101	matemática general	2	-	-	8	JUE	10:30	12:20
Electronica	1	MA0101	matemática general	2	-	-	12	MAR	13:00	15:50
Electronica	1	MA0101	matemática general	2	-	-	12	JUE	13:00	14:50
Electronica	1	MA0101	matemática general	2	-	-	15	MAR	16:00	17:50
Electronica	1	MA0101	matemática general	2	-	-	15	JUE	15:00	17:50
Electronica	1	MA0101	matemática general	2	-	-	9	MAR	13:00	14:50
Electronica	1	MA0101	matemática general	2	-	-	9	JUE	13:00	15:50
Electronica	1	MA0101	matemática general	2	-	-	18	MAR	17:00	18:50
Electronica	1	MA0101	matemática general	2	-	-	18	JUE	17:00	19:50
Electronica	1	MA0101	matemática general	2	-	-	16	MAR	16:00	17:50
Electronica	1	MA0101	matemática general	2	-	-	16	JUE	15:00	17:50
Electronica	1	MA0101	matemática general	2	-	-	7	MAR	09:30	12:20
Electronica	1	MA0101	matemática general	2	-	-	7	JUE	10:30	12:20
Electronica	1	MA0101	matemática general	2	-	-	17	MAR	17:00	18:50
Electronica	1	MA0101	matemática general	2	-	-	17	JUE	17:00	19:50
Electronica	1	MA0101	matemática general	2	-	-	13	MAR	15:00	17:50
Electronica	1	MA0101	matemática general	2	-	-	13	JUE	15:00	16:50
Electronica	1	MA0101	matemática general	2	-	-	28	MIE	13:00	14:50
Electronica	1	MA0101	matemática general	2	-	-	28	VIE	13:00	15:50
Electronica	1	MA0101	matemática general	2	-	-	3	MAR	07:30	10:20
Electronica	1	MA0101	matemática general	2	-	-	3	JUE	07:30	09:20
Electronica	1	MA0101	matemática general	2	-	-	19	MAR	17:00	19:50
Electronica	1	MA0101	matemática general	2	-	-	19	JUE	17:00	18:50
Electronica	1	MA0101	matemática general	2	-	-	4	MAR	09:30	11:20
Electronica	1	MA0101	matemática general	2	-	-	4	JUE	09:30	12:20
Electronica	1	MA0101	matemática general	2	-	-	34	MIE	18:00	20:50
Electronica	1	MA0101	matemática general	2	-	-	34	VIE	18:00	19:50
Electronica	1	MA0101	matemática general	2	-	-	5	MAR	09:30	11:20
Electronica	1	MA0101	matemática general	2	-	-	5	JUE	09:30	12:20
Electronica	1	MA0101	matemática general	2	-	-	14	MAR	15:00	17:50
Electronica	1	MA0101	matemática general	2	-	-	14	JUE	15:00	16:50
Electronica	1	MA0101	matemática general	2	-	-	26	MIE	09:30	12:20
Electronica	1	MA0101	matemática general	2	-	-	26	VIE	09:30	11:20
Electronica	1	MA0101	matemática general	2	-	-	23	MIE	07:30	10:20
Electronica	1	MA0101	matemática general	2	-	-	23	VIE	07:30	09:20
Electronica	1	MA0101	matemática general	2	-	-	1	MAR	07:30	09:20
Electronica	1	MA0101	matemática general	2	-	-	1	JUE	07:30	10:20
Electronica	1	MA0101	matemática general	2	-	-	6	MAR	09:30	12:20
Electronica	1	MA0101	matemática general	2	-	-	6	JUE	10:30	12:20
