semestre_plan	codigo	nombre_plan	sede	grupo	tipo	modalidad	periodo	creditos_guia	horas_guia	profesor	horario_original	archivo_fuente
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	20	Regular	SEMESTRE	1	2	5	ABARCA FUENTES MARVIN	MAR[17:00-19:50] JUE[17:00-18:50]	Guia de Horario de la Escuela MA.mhtml
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	32	Regular	SEMESTRE	1	2	5	ALVARADO SOLANO ANDY	MIE[17:00-19:50] VIE[17:00-18:50]	Guia de Horario de la Escuela MA.mhtml
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	10	Regular	SEMESTRE	1	2	5	AZOFEIFA CUBERO ROBERTO	MAR[13:00-14:50] JUE[13:00-15:50]	Guia de Horario de la Escuela MA.mhtml
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	8	Regular	SEMESTRE	1	2	5	CHAVES SALAS LEONEL ROLANDO	MAR[09:30-12:20] JUE[10:30-12:20]	Guia de Horario de la Escuela MA.mhtml
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	12	Regular	SEMESTRE	1	2	5	CHAVES SALAS LEONEL ROLANDO	MAR[13:00-15:50] JUE[13:00-14:50]	Guia de Horario de la Escuela MA.mhtml
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	15	Asistida	SEMESTRE	1	2	5	CHAVES SALAS LEONEL ROLANDO	MAR[16:00-17:50] JUE[15:00-17:50]	Guia de Horario de la Escuela MA.mhtml
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	9	Regular	SEMESTRE	1	2	5	CHINCHILLA VALVERDE JORGE LUIS	MAR[13:00-14:50] JUE[13:00-15:50]	Guia de Horario de la Escuela MA.mhtml
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	18	Regular	SEMESTRE	1	2	5	CORDERO QUIROS MARCIAL	MAR[17:00-18:50] JUE[17:00-19:50]	Guia de Horario de la Escuela MA.mhtml
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	16	Regular	SEMESTRE	1	2	5	GARCIA DELGADO PAULO	MAR[16:00-17:50] JUE[15:00-17:50]	Guia de Horario de la Escuela MA.mhtml
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	7	Regular	SEMESTRE	1	2	5	GUTIERREZ MONTENEGRO MARCO VINICIO	MAR[09:30-12:20] JUE[10:30-12:20]	Guia de Horario de la Escuela MA.mhtml
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	17	Regular	SEMESTRE	1	2	5	GUTIERREZ MONTENEGRO MARCO VINICIO	MAR[17:00-18:50] JUE[17:00-19:50]	Guia de Horario de la Escuela MA.mhtml
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	13	Grupo RN	SEMESTRE	1	2	5	GUTIERREZ RUIZ GRETTEL	MAR[15:00-17:50] JUE[15:00-16:50]	Guia de Horario de la Escuela MA.mhtml
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	28	Regular	SEMESTRE	1	2	5	GUTIERREZ RUIZ GRETTEL	MIE[13:00-14:50] VIE[13:00-15:50]	Guia de Horario de la Escuela MA.mhtml
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	3	Regular	SEMESTRE	1	2	5	JIMENEZ MADRIGAL JORGE	MAR[07:30-10:20] JUE[07:30-09:20]	Guia de Horario de la Escuela MA.mhtml
1	MA0101	matemática general	CAMPUS TECNOLOGICO CENTRAL CARTAGO	19	Regular	SEMESTRE	1	2	5	JIMENEZ MADRIGAL JORGE	MAR[17:00-19:50] JUE[17:00-18:50]	Guia de Horario de la Escuela MA.mhtml
